"","STUDY_NUM","month","year","event","cnt","TA_DESC","PHASE","LAST_SUBJECT_SCREENED_DATE","ASCENT_Study"
"22","1491-801-007","Dec",2021,"CRA",NA,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"23","1491-801-007","Dec",2021,"MSL",NA,"Eye Care","","2022-01-28","Non-ASCENT"
"24","1491-801-007","Dec",2021,"MSL",NA,"Eye Care","","2022-01-28 00:00:00","Non-ASCENT"
"25","1883-306-013","May",2021,"screens",6,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"26","1883-306-013","May",2021,"CRA",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"27","1883-306-013","May",2021,"MSL",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"28","1883-306-013","Jun",2021,"screens",14,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"29","1883-306-013","Jun",2021,"CRA",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"30","1883-306-013","Jun",2021,"MSL",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"31","1883-306-013","Jul",2021,"screens",11,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"32","1883-306-013","Jul",2021,"CRA",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"33","1883-306-013","Jul",2021,"MSL",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"34","1883-306-013","Aug",2021,"screens",6,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"35","1883-306-013","Aug",2021,"CRA",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"36","1883-306-013","Aug",2021,"MSL",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"37","1883-306-013","Sep",2021,"screens",10,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"38","1883-306-013","Sep",2021,"CRA",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"39","1883-306-013","Sep",2021,"MSL",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"40","1883-306-013","Oct",2021,"screens",8,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"41","1883-306-013","Oct",2021,"CRA",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"42","1883-306-013","Oct",2021,"MSL",NA,"Eye Care","Phase 3","2021-10-26","Non-ASCENT"
"43","1924-703-007","Jan",2023,"screens",1,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"44","1924-703-007","Jan",2023,"screens",1,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"45","1924-703-007","Jan",2023,"CRA",27,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"46","1924-703-007","Jan",2023,"CRA",27,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"47","1924-703-007","Jan",2023,"MSL",2,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"48","1924-703-007","Jan",2023,"MSL",2,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"49","1924-703-007","Feb",2023,"screens",10,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"50","1924-703-007","Feb",2023,"screens",10,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"51","1924-703-007","Feb",2023,"CRA",29,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"52","1924-703-007","Feb",2023,"CRA",29,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"53","1924-703-007","Feb",2023,"MSL",2,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"54","1924-703-007","Feb",2023,"MSL",2,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"55","1924-703-007","Mar",2023,"screens",9,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"56","1924-703-007","Mar",2023,"screens",9,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"57","1924-703-007","Mar",2023,"CRA",27,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"58","1924-703-007","Mar",2023,"CRA",27,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"59","1924-703-007","Mar",2023,"MSL",3,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"60","1924-703-007","Mar",2023,"MSL",3,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"61","1924-703-007","Apr",2023,"screens",1,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"62","1924-703-007","Apr",2023,"screens",1,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"63","1924-703-007","Apr",2023,"CRA",31,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"64","1924-703-007","Apr",2023,"CRA",31,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"65","1924-703-007","Apr",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"66","1924-703-007","Apr",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"67","1924-703-007","May",2023,"screens",6,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"68","1924-703-007","May",2023,"screens",6,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"69","1924-703-007","May",2023,"CRA",32,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"70","1924-703-007","May",2023,"CRA",32,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"71","1924-703-007","May",2023,"MSL",1,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"72","1924-703-007","May",2023,"MSL",1,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"73","1924-703-007","Jun",2022,"screens",1,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"74","1924-703-007","Jun",2022,"screens",1,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"75","1924-703-007","Jun",2022,"CRA",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"76","1924-703-007","Jun",2022,"CRA",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"77","1924-703-007","Jun",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"78","1924-703-007","Jun",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"79","1924-703-007","Jun",2023,"screens",5,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"80","1924-703-007","Jun",2023,"screens",5,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"81","1924-703-007","Jun",2023,"CRA",32,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"82","1924-703-007","Jun",2023,"CRA",32,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"83","1924-703-007","Jun",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"84","1924-703-007","Jun",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"85","1924-703-007","Jul",2022,"screens",3,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"86","1924-703-007","Jul",2022,"screens",3,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"87","1924-703-007","Jul",2022,"CRA",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"88","1924-703-007","Jul",2022,"CRA",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"89","1924-703-007","Jul",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"90","1924-703-007","Jul",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"91","1924-703-007","Jul",2023,"screens",2,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"92","1924-703-007","Jul",2023,"screens",2,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"93","1924-703-007","Jul",2023,"CRA",31,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"94","1924-703-007","Jul",2023,"CRA",31,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"95","1924-703-007","Jul",2023,"MSL",1,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"96","1924-703-007","Jul",2023,"MSL",1,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"97","1924-703-007","Aug",2022,"screens",2,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"98","1924-703-007","Aug",2022,"screens",2,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"99","1924-703-007","Aug",2022,"CRA",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"100","1924-703-007","Aug",2022,"CRA",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"101","1924-703-007","Aug",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"102","1924-703-007","Aug",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"103","1924-703-007","Aug",2023,"screens",3,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"104","1924-703-007","Aug",2023,"screens",3,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"105","1924-703-007","Aug",2023,"CRA",29,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"106","1924-703-007","Aug",2023,"CRA",29,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"107","1924-703-007","Aug",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"108","1924-703-007","Aug",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"109","1924-703-007","Sep",2022,"screens",1,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"110","1924-703-007","Sep",2022,"screens",1,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"111","1924-703-007","Sep",2022,"CRA",16,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"112","1924-703-007","Sep",2022,"CRA",16,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"113","1924-703-007","Sep",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"114","1924-703-007","Sep",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"115","1924-703-007","Sep",2023,"screens",5,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"116","1924-703-007","Sep",2023,"screens",5,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"117","1924-703-007","Sep",2023,"CRA",27,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"118","1924-703-007","Sep",2023,"CRA",27,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"119","1924-703-007","Sep",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"120","1924-703-007","Sep",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"121","1924-703-007","Oct",2022,"screens",2,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"122","1924-703-007","Oct",2022,"screens",2,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"123","1924-703-007","Oct",2022,"CRA",17,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"124","1924-703-007","Oct",2022,"CRA",17,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"125","1924-703-007","Oct",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"126","1924-703-007","Oct",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"127","1924-703-007","Oct",2023,"screens",10,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"128","1924-703-007","Oct",2023,"screens",10,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"129","1924-703-007","Oct",2023,"CRA",30,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"130","1924-703-007","Oct",2023,"CRA",30,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"131","1924-703-007","Oct",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"132","1924-703-007","Oct",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"133","1924-703-007","Nov",2022,"screens",4,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"134","1924-703-007","Nov",2022,"screens",4,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"135","1924-703-007","Nov",2022,"CRA",18,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"136","1924-703-007","Nov",2022,"CRA",18,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"137","1924-703-007","Nov",2022,"MSL",1,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"138","1924-703-007","Nov",2022,"MSL",1,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"139","1924-703-007","Nov",2023,"screens",4,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"140","1924-703-007","Nov",2023,"screens",4,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"141","1924-703-007","Nov",2023,"CRA",4,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"142","1924-703-007","Nov",2023,"CRA",4,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"143","1924-703-007","Nov",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"144","1924-703-007","Nov",2023,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"145","1924-703-007","Dec",2022,"screens",4,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"146","1924-703-007","Dec",2022,"screens",4,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"147","1924-703-007","Dec",2022,"CRA",18,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"148","1924-703-007","Dec",2022,"CRA",18,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"149","1924-703-007","Dec",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16","Non-ASCENT"
"150","1924-703-007","Dec",2022,"MSL",NA,"Eye Care","Phase 3","2024-06-16 00:00:00","Non-ASCENT"
"151","2015-702-008","Nov",2023,"screens",1,"Aesthetics","Phase 3","2024-03-03","Non-ASCENT"
"152","2015-702-008","Nov",2023,"screens",1,"Aesthetics","Phase 3","2024-03-03 00:00:00","Non-ASCENT"
"153","2015-702-008","Nov",2023,"CRA",NA,"Aesthetics","Phase 3","2024-03-03","Non-ASCENT"
"154","2015-702-008","Nov",2023,"CRA",NA,"Aesthetics","Phase 3","2024-03-03 00:00:00","Non-ASCENT"
"155","2015-702-008","Nov",2023,"MSL",NA,"Aesthetics","Phase 3","2024-03-03","Non-ASCENT"
"156","2015-702-008","Nov",2023,"MSL",NA,"Aesthetics","Phase 3","2024-03-03 00:00:00","Non-ASCENT"
"157","2029-701-008","Mar",2023,"screens",7,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"158","2029-701-008","Mar",2023,"CRA",12,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"159","2029-701-008","Mar",2023,"MSL",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"160","2029-701-008","Apr",2023,"screens",57,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"161","2029-701-008","Apr",2023,"CRA",1,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"162","2029-701-008","Apr",2023,"MSL",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"163","2029-701-008","May",2022,"screens",14,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"164","2029-701-008","May",2022,"CRA",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"165","2029-701-008","May",2022,"MSL",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"166","2029-701-008","May",2023,"screens",56,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"167","2029-701-008","May",2023,"CRA",2,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"168","2029-701-008","May",2023,"MSL",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"169","2029-701-008","Jun",2022,"screens",5,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"170","2029-701-008","Jun",2022,"CRA",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"171","2029-701-008","Jun",2022,"MSL",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"172","2029-701-008","Jun",2023,"screens",35,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"173","2029-701-008","Jun",2023,"CRA",10,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"174","2029-701-008","Jun",2023,"MSL",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"175","2029-701-008","Jul",2022,"screens",1,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"176","2029-701-008","Jul",2022,"CRA",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"177","2029-701-008","Jul",2022,"MSL",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"178","2029-701-008","Jul",2023,"screens",12,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"179","2029-701-008","Jul",2023,"CRA",3,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"180","2029-701-008","Jul",2023,"MSL",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"181","2029-701-008","Aug",2023,"screens",1,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"182","2029-701-008","Aug",2023,"CRA",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"183","2029-701-008","Aug",2023,"MSL",NA,"Aesthetics","Phase 3","2023-09-22","Non-ASCENT"
"184","2042-201-008","Jan",2022,"screens",130,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"185","2042-201-008","Jan",2022,"screens",130,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"186","2042-201-008","Jan",2022,"CRA",NA,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"187","2042-201-008","Jan",2022,"CRA",NA,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"188","2042-201-008","Jan",2022,"MSL",NA,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"189","2042-201-008","Jan",2022,"MSL",NA,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"190","2042-201-008","Feb",2022,"screens",85,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"191","2042-201-008","Feb",2022,"screens",85,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"192","2042-201-008","Feb",2022,"CRA",NA,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"193","2042-201-008","Feb",2022,"CRA",NA,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"194","2042-201-008","Feb",2022,"MSL",NA,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"195","2042-201-008","Feb",2022,"MSL",NA,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"196","2042-201-008","Oct",2021,"screens",18,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"197","2042-201-008","Oct",2021,"screens",18,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"198","2042-201-008","Oct",2021,"CRA",NA,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"199","2042-201-008","Oct",2021,"CRA",NA,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"200","2042-201-008","Oct",2021,"MSL",NA,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"201","2042-201-008","Oct",2021,"MSL",NA,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"202","2042-201-008","Nov",2021,"screens",65,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"203","2042-201-008","Nov",2021,"screens",65,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"204","2042-201-008","Nov",2021,"CRA",NA,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"205","2042-201-008","Nov",2021,"CRA",NA,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"206","2042-201-008","Nov",2021,"MSL",NA,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"207","2042-201-008","Nov",2021,"MSL",NA,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"208","2042-201-008","Dec",2021,"screens",95,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"209","2042-201-008","Dec",2021,"screens",95,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"210","2042-201-008","Dec",2021,"CRA",NA,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"211","2042-201-008","Dec",2021,"CRA",NA,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"212","2042-201-008","Dec",2021,"MSL",NA,"Aesthetics","Phase 2","2022-02-11","Non-ASCENT"
"213","2042-201-008","Dec",2021,"MSL",NA,"Aesthetics","Phase 2","2022-02-11 00:00:00","Non-ASCENT"
"214","3101-106-002","Mar",2021,"screens",16,"Neuroscience","Phase 1","2021-05-14","Non-ASCENT"
"215","3101-106-002","Mar",2021,"CRA",NA,"Neuroscience","Phase 1","2021-05-14","Non-ASCENT"
"216","3101-106-002","Mar",2021,"MSL",NA,"Neuroscience","Phase 1","2021-05-14","Non-ASCENT"
"217","3101-106-002","Apr",2021,"screens",12,"Neuroscience","Phase 1","2021-05-14","Non-ASCENT"
"218","3101-106-002","Apr",2021,"CRA",NA,"Neuroscience","Phase 1","2021-05-14","Non-ASCENT"
"219","3101-106-002","Apr",2021,"MSL",NA,"Neuroscience","Phase 1","2021-05-14","Non-ASCENT"
"220","3101-106-002","May",2021,"screens",3,"Neuroscience","Phase 1","2021-05-14","Non-ASCENT"
"221","3101-106-002","May",2021,"CRA",NA,"Neuroscience","Phase 1","2021-05-14","Non-ASCENT"
"222","3101-106-002","May",2021,"MSL",NA,"Neuroscience","Phase 1","2021-05-14","Non-ASCENT"
"223","3101-311-002","Aug",2021,"screens",2,"Neuroscience","Phase 3","2021-09-30","Non-ASCENT"
"224","3101-311-002","Aug",2021,"CRA",NA,"Neuroscience","Phase 3","2021-09-30","Non-ASCENT"
"225","3101-311-002","Aug",2021,"MSL",NA,"Neuroscience","Phase 3","2021-09-30","Non-ASCENT"
"226","3101-311-002","Sep",2021,"screens",1,"Neuroscience","Phase 3","2021-09-30","Non-ASCENT"
"227","3101-311-002","Sep",2021,"CRA",NA,"Neuroscience","Phase 3","2021-09-30","Non-ASCENT"
"228","3101-311-002","Sep",2021,"MSL",NA,"Neuroscience","Phase 3","2021-09-30","Non-ASCENT"
"229","3101-312-002","Jan",2022,"screens",37,"Neuroscience","Phase 3","2022-07-19","Non-ASCENT"
"230","3101-312-002","Jan",2022,"screens",37,"Neuroscience","Phase 3","2022-07-19 00:00:00","Non-ASCENT"
"231","3101-312-002","Jan",2022,"CRA",NA,"Neuroscience","Phase 3","2022-07-19","Non-ASCENT"
"232","3101-312-002","Jan",2022,"CRA",NA,"Neuroscience","Phase 3","2022-07-19 00:00:00","Non-ASCENT"
"233","3101-312-002","Jan",2022,"MSL",NA,"Neuroscience","Phase 3","2022-07-19","Non-ASCENT"
"234","3101-312-002","Jan",2022,"MSL",NA,"Neuroscience","Phase 3","2022-07-19 00:00:00","Non-ASCENT"
"235","3101-312-002","Feb",2021,"screens",5,"Neuroscience","Phase 3","2022-07-19","Non-ASCENT"
"236","3101-312-002","Feb",2021,"screens",5,"Neuroscience","Phase 3","2022-07-19 00:00:00","Non-ASCENT"
"237","3101-312-002","Feb",2021,"CRA",NA,"Neuroscience","Phase 3","2022-07-19","Non-ASCENT"
"238","3101-312-002","Feb",2021,"CRA",NA,"Neuroscience","Phase 3","2022-07-19 00:00:00","Non-ASCENT"
"239","3101-312-002","Feb",2021,"MSL",NA,"Neuroscience","Phase 3","2022-07-19","Non-ASCENT"
"240","3101-312-002","Feb",2021,"MSL",NA,"Neuroscience","Phase 3","2022-07-19 00:00:00","Non-ASCENT"
"241","3101-312-002","Feb",2022,"screens",49,"Neuroscience","Phase 3","2022-07-19","Non-ASCENT"
"242","3101-312-002","Feb",2022,"screens",49,"Neuroscience","Phase 3","2022-07-19 00:00:00","Non-ASCENT"
"243","3101-312-002","Feb",2022,"CRA",NA,"Neuroscience","Phase 3","2022-07-19","Non-ASCENT"
"244","3101-312-002","Feb",2022,"CRA",NA,"Neuroscience","Phase 3","2022-07-19 00:00:00","Non-ASCENT"
"245","3101-312-002","Feb",2022,"MSL",NA,"Neuroscience","Phase 3","2022-07-19","Non-ASCENT"
"246","3101-312-002","Feb",2022,"MSL",NA,"Neuroscience","Phase 3","2022-07-19 00:00:00","Non-ASCENT"
"247","3101-312-002","Mar",2021,"screens",3,"Neuroscience","Phase 3","2022-07-19","Non-ASCENT"
